* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2019-11-08 09:24:02 AM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\rcunning\Documents\Gomez\20191107_AG_8.eds
* Experiment Name = 20191107_AG_8
* Experiment Run End Time = 2019-11-07 13:06:27 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	PRFLOW	HIGHSD	NOAMP	CTFAIL
1	A1	false	5 OF 1	Ofav	UNKNOWN	FAM	NFQ-MGB	31.282	31.170	0.158								false	0.010	true	3	30	Amp		N	N	N	N	N
2	A2	false	5 OF 2	Ofav	UNKNOWN	FAM	NFQ-MGB	29.915	29.518	0.562								false	0.010	true	3	28	Amp		N	N	Y	N	N
3	A3	false	5 OF 3	Ofav	UNKNOWN	FAM	NFQ-MGB	28.827	28.933	0.150								false	0.010	true	3	27	Amp		N	N	N	N	N
4	A4	false	5 OF 4	Ofav	UNKNOWN	FAM	NFQ-MGB	26.774	26.537	0.335								false	0.010	true	3	25	Amp		N	N	N	N	N
5	A5	false	5 OF 5	Ofav	UNKNOWN	FAM	NFQ-MGB	25.579	25.515	0.089								false	0.010	true	3	24	Amp		N	N	N	N	N
6	A6	false	6 OF 1	Ofav	UNKNOWN	FAM	NFQ-MGB	27.116	27.183	0.094								false	0.010	true	3	25	Amp		N	N	N	N	N
7	A7	false	6 OF 2	Ofav	UNKNOWN	FAM	NFQ-MGB	31.361	31.244	0.165								false	0.010	true	3	30	Amp		N	N	N	N	N
8	A8	false	6 OF 3	Ofav	UNKNOWN	FAM	NFQ-MGB	29.456	29.564	0.153								false	0.010	true	3	28	Amp		N	N	N	N	N
9	A9	false	6 OF 4	Ofav	UNKNOWN	FAM	NFQ-MGB	30.218	30.378	0.226								false	0.010	true	3	29	Amp		N	N	N	N	N
10	A10	false	6 OF 5	Ofav	UNKNOWN	FAM	NFQ-MGB	29.694	29.884	0.268								false	0.010	true	3	28	Amp		N	N	N	N	N
11	A11	false	+	Ofav	UNKNOWN	FAM	NFQ-MGB	21.406	21.273	0.188								false	0.010	true	3	20	Amp		N	N	N	N	N
12	A12	false	NCT	Ofav	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	19	No Amp		N	N	N	Y	N
13	B1	false	5 OF 1	Ofav	UNKNOWN	FAM	NFQ-MGB	31.058	31.170	0.158								false	0.010	true	3	30	Amp		N	N	N	N	N
